"device_id","type","bucket_step_minutes","timestamp","wind_lull","wind_avg","wind_gust","wind_dir","wind_interval","pressure","temperature","humidity","lux","uv","solar_radiation","precip","precip_type","strike_distance","strike_count","battery","report_interval","local_daily_precip","precip_final","local_daily_precip_final","precip_analysis_type"
246921,obs_st,1,1711013220,0,0.23,1.25,256,3,1016.7,-0.8,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013280,0,0.64,1.42,253,3,1016.7,-0.9,48,0,0,0,0,0,0,0,2.61,1,0,0,0,0,
246921,obs_st,1,1711013340,0,0.4,0.93,260,3,1016.7,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013400,0,0.19,0.85,253,3,1016.8,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013460,0,0.61,1.11,301,3,1016.8,-0.9,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013520,0.54,1.39,2.46,332,3,1016.8,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013580,0.04,0.61,1.23,249,3,1016.8,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013640,0.2,1.04,1.55,260,3,1016.8,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013700,0.28,1.24,2.08,228,3,1016.8,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013760,0.02,1.03,2.31,325,3,1016.8,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013820,0,0.35,1.41,338,3,1016.9,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013880,0.01,0.98,2.18,303,3,1016.9,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711013940,0,0.7,1.26,306,3,1016.8,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711014000,0,0.83,1.77,347,3,1016.9,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711014060,0.12,1.25,2.41,343,3,1016.9,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711014120,0.03,1.46,3.19,323,3,1016.9,-1,49,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711014180,0.41,1.64,2.62,316,3,1016.9,-1,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711014240,0.08,1.07,2.62,284,3,1016.9,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
246921,obs_st,1,1711014300,0.01,0.87,1.65,311,3,1016.9,-0.9,48,0,0,0,0,0,0,0,2.62,1,0,0,0,0,
